snr,x,y,q,hc,h,r,s,dv,cat,area,ps,component
"2017","20500","382500",2.117e-05,0.069,15.2,"1000",7.6,"0","3835","528","0",NOx
"2017","20500","392500",4.235e-07,0.069,15.2,"1000",7.6,"0","3835","528","0",NOx
"2017","20500","393500",1.117e-06,0.069,15.2,"1000",7.6,"0","3835","528","0",NOx
"2017","21500","382500",2.036e-05,0.069,15.2,"1000",7.6,"0","3835","528","0",NOx
"2017","21500","383500",0.000244,0.069,15.2,"1000",7.6,"0","3835","528","0",NOx
"2017","21500","391500",1.076e-05,0.069,15.2,"1000",7.6,"0","3835","528","0",NOx
"2017","21500","392500",6.405e-07,0.069,15.2,"1000",7.6,"0","3835","528","0",NOx
"2017","22500","382500",2.297e-05,0.069,15.2,"1000",7.6,"0","3835","528","0",NOx
"2017","22500","383500",9.268e-07,0.069,15.2,"1000",7.6,"0","3835","528","0",NOx
"2017","22500","384500",7.564e-07,0.069,15.2,"1000",7.6,"0","3835","528","0",NOx
"2017","22500","391500",1.54e-06,0.069,15.2,"1000",7.6,"0","3835","528","0",NOx
"2017","23500","383500",4.217e-05,0.069,15.2,"1000",7.6,"0","3835","528","0",NOx
"2017","23500","389500",6.405e-07,0.069,15.2,"1000",7.6,"0","3835","528","0",NOx
"2017","23500","390500",1.717e-06,0.069,15.2,"1000",7.6,"0","3835","528","0",NOx
"2017","24500","383500",4.495e-05,0.069,15.2,"1000",7.6,"0","3835","528","0",NOx
"2017","24500","387500",1.192e-05,0.069,15.2,"1000",7.6,"0","3835","528","0",NOx
"2017","24500","388500",2.151e-06,0.069,15.2,"1000",7.6,"0","3835","528","0",NOx
"2017","24500","389500",4.235e-07,0.069,15.2,"1000",7.6,"0","3835","528","0",NOx
"2017","25500","382500",1.355e-06,0.069,15.2,"1000",7.6,"0","3835","528","0",NOx
"2017","25500","383500",1.731e-05,0.069,15.2,"1000",7.6,"0","3835","528","0",NOx
